2026-05-26T17:16:00.686440+00:00 [92/663] 反流性咳嗽 | key=反流性咳嗽 | ValueError: Disease_id not found from SymMap search keys=['反流性咳嗽', 'GERC相关咳嗽']
2026-05-26T17:16:10.043968+00:00 [93/663] 反流性食管炎 | key=反流性食管炎 | ValueError: Disease_id not found from SymMap search keys=['反流性食管炎', 'Reflux Esophagitis', '吐酸', '反酸', '胃食管反流病']
2026-05-26T17:16:37.439268+00:00 [95/663] 变应性鼻炎 | key=变应性鼻炎 | ValueError: Disease_id not found from SymMap search keys=['变应性鼻炎', 'allergic rhinitis', 'AR', '变态反应性鼻炎', '过敏性鼻炎', '鼻鼽', '季节性鼻炎', '常年性鼻炎 主病名： 非变应性鼻炎', '血管运动性鼻炎', '血管舒缩性鼻炎', '非过敏性鼻炎']
2026-05-26T17:16:42.736807+00:00 [96/663] 口底部蜂窝组织炎 | key=口底部蜂窝组织炎 | ValueError: Disease_id not found from SymMap search keys=['口底部蜂窝组织炎', '锁喉痈']
2026-05-26T17:16:47.945927+00:00 [97/663] 口腔念珠菌病 | key=口腔念珠菌病 | ValueError: Disease_id not found from SymMap search keys=['口腔念珠菌病', '口糜']
2026-05-26T17:16:51.887651+00:00 [98/663] 口腔扁平苔藓 | key=口腔扁平苔藓 | ValueError: Disease_id not found from SymMap search keys=['口腔扁平苔藓']
2026-05-26T17:16:59.543796+00:00 [99/663] 口臭 | key=口臭 | ValueError: Disease_id not found from SymMap search keys=['口臭', '口腔异味']
2026-05-26T17:17:07.024385+00:00 [100/663] 吉兰-巴雷综合征 | key=吉兰-巴雷综合征 | ValueError: Disease_id not found from SymMap search keys=['吉兰-巴雷综合征', '格林-巴利综合征', '急性炎症性脱髓鞘性多发性神经病']
2026-05-26T17:17:12.302482+00:00 [101/663] 后葡萄膜炎 | key=后葡萄膜炎 | ValueError: Disease_id not found from SymMap search keys=['后葡萄膜炎', 'Posterior Uveitis']
2026-05-26T17:17:20.235684+00:00 [102/663] 呃逆 | key=呃逆 | ValueError: Disease_id not found from SymMap search keys=['呃逆', 'Hiccups', '膈肌痉挛 (作为可能的原因)']
2026-05-26T17:17:26.395787+00:00 [103/663] 呕吐 | key=呕吐 | ValueError: Disease_id not found from SymMap search keys=['呕吐', 'Vomiting']
2026-05-26T17:17:37.167534+00:00 [104/663] 呕血 | key=呕血 | ValueError: Disease_id not found from SymMap search keys=['呕血', 'Hematemesis', '吐血']
2026-05-26T17:18:05.457636+00:00 [105/663] 周围血管疾病 | key=周围血管疾病 | ValueError: Disease_id not found from SymMap search keys=['周围血管疾病', 'Peripheral Vascular Disease', 'PVD', '血栓闭塞性脉管炎', '雷诺病', '大动脉炎', '动脉粥样硬化闭塞症', '下肢静脉曲张', '血栓性静脉炎', '深静脉血栓', '雷诺综合征', '雷诺现象']
2026-05-26T17:18:21.334790+00:00 [107/663] 咯血 | key=咯血 | ValueError: Disease_id not found from SymMap search keys=['咯血', 'Hemoptysis', '咳血']
2026-05-26T17:18:25.118194+00:00 [108/663] 咳嗽变异性哮喘 | key=咳嗽变异性哮喘 | ValueError: Disease_id not found from SymMap search keys=['咳嗽变异性哮喘']
2026-05-26T17:18:40.238549+00:00 [109/663] 咽异感症 | key=咽异感症 | ValueError: Disease_id not found from SymMap search keys=['咽异感症', 'abnormal sensation of throat', '癔球症', '咽神经官能症', '梅核气']
2026-05-26T17:18:46.900639+00:00 [110/663] 咽结合膜热 | key=咽结合膜热 | ValueError: Disease_id not found from SymMap search keys=['咽结合膜热', '咽-结合膜热']
2026-05-26T17:18:54.990769+00:00 [111/663] 咽部灼伤 | key=咽部灼伤 | ValueError: Disease_id not found from SymMap search keys=['咽部灼伤', '咽部化学烧伤', '咽部热力烧伤']
2026-05-26T17:19:02.823516+00:00 [112/663] 咽部脓肿 | key=咽部脓肿 | ValueError: Disease_id not found from SymMap search keys=['咽部脓肿', '喉痈', '咽蜂窝织炎']
2026-05-26T17:19:06.119671+00:00 [113/663] 喉创伤 | key=喉创伤 | ValueError: Disease_id not found from SymMap search keys=['喉创伤']
2026-05-26T17:19:15.643116+00:00 [114/663] 喉梗阻 | key=喉梗阻 | ValueError: Disease_id not found from SymMap search keys=['喉梗阻', '喉风', '喉梗塞', '喉阻塞', '喉部梗阻']
2026-05-26T17:19:25.276087+00:00 [115/663] 喉源性咳嗽 | key=喉源性咳嗽 | ValueError: Disease_id not found from SymMap search keys=['喉源性咳嗽', '喉咳', '咳嗽变异性喉炎', '喉部刺激性咳嗽']
2026-05-26T17:19:42.757448+00:00 [116/663] 喉癌 | key=喉癌 | ValueError: Disease_id not found from SymMap search keys=['喉癌', 'carcinoma of the larynx', '喉咽恶性肿瘤', '咽喉恶性肿瘤', '喉部恶性肿瘤', '假声带恶性肿瘤', '喉室带恶性肿瘤', '声门下恶性肿瘤', '喉软骨恶性肿瘤']
2026-05-26T17:19:49.180354+00:00 [117/663] 喉结核 | key=喉结核 | ValueError: Disease_id not found from SymMap search keys=['喉结核', '喉癣']
2026-05-26T17:19:53.011634+00:00 [118/663] 喉阻塞 | key=喉阻塞 | ValueError: Disease_id not found from SymMap search keys=['喉阻塞']
2026-05-26T17:20:06.178663+00:00 [120/663] 嘈杂 | key=嘈杂 | ValueError: Disease_id not found from SymMap search keys=['嘈杂', 'Heartburn']
2026-05-26T17:20:16.282441+00:00 [121/663] 噪声性聋 | key=噪声性聋 | ValueError: Disease_id not found from SymMap search keys=['噪声性聋', 'noise induced deafness', '慢性声损伤', 'chronic acoustic trauma', '噪声性听力损失']
2026-05-26T17:20:22.101581+00:00 [122/663] 回乳 | key=回乳 | ValueError: Disease_id not found from SymMap search keys=['回乳', '断乳']
2026-05-26T17:20:46.765019+00:00 [123/663] 坐板疮 | key=坐板疮 | ValueError: Disease_id not found from SymMap search keys=['坐板疮', '臀部毛囊炎', '臀部痤疮样毛囊炎', '臀部化脓性毛囊炎', '臀部葡萄球菌性毛囊炎', '臀部毛囊感染', '臀部细菌性毛囊炎', '慢性臀部毛囊炎', '臀部毛囊脓疱', '臀部毛囊脓肿']
2026-05-26T17:21:16.127509+00:00 [126/663] 声带小结 | key=声带小结 | HTTPError: 502 Server Error: Bad Gateway for url: http://www.symmap.org/search/
2026-05-26T17:21:35.185668+00:00 [127/663] 声带息肉 | key=声带息肉 | HTTPError: 502 Server Error: Bad Gateway for url: http://www.symmap.org/search/
2026-05-26T17:21:42.617068+00:00 [128/663] 备孕 | key=备孕 | ValueError: Disease_id not found from SymMap search keys=['备孕', '计划行辅助生殖技术', 'ART（辅助生殖技术）准备期']
